instance,instance_size,solver,time_ext_mean,time_ext_median,time_ext_std,time_ext_min,time_ext_max,obj_best,obj_mean,obj_std,gap_mean,status_last,successful_runs,total_runs
d10100.dat,1000,cplex,102.11586666107178,102.11586666107178,0.0,102.11586666107178,102.11586666107178,,,,,TIMEOUT,1,1
d10100.dat,1000,xpress,100.84871506690979,100.84871506690979,0.0,100.84871506690979,100.84871506690979,6363.0,6363.0,,,limit,1,1
d10100.dat,1000,highs,100.90759873390198,100.90759873390198,0.0,100.90759873390198,100.90759873390198,6363.000000000002,6363.000000000002,,,limit,1,1
d10100.dat,1000,scip,100.35095930099487,100.35095930099487,0.0,100.35095930099487,100.35095930099487,6385.0,6385.0,,,limit,1,1
d10100.dat,1000,cbc,102.11182951927185,102.11182951927185,0.0,102.11182951927185,102.11182951927185,,,,,TIMEOUT,1,1
a10200.dat,2000,gurobi,0.19532084465026855,0.19532084465026855,0.0,0.19532084465026855,0.19532084465026855,2623.0,2623.0,,,solved,1,1
a10200.dat,2000,cplex,0.1132192611694336,0.1132192611694336,0.0,0.1132192611694336,0.1132192611694336,2623.0,2623.0,,,solved,1,1
a10200.dat,2000,xpress,0.10822582244873047,0.10822582244873047,0.0,0.10822582244873047,0.10822582244873047,2623.0,2623.0,,,solved,1,1
a10200.dat,2000,highs,0.11925482749938965,0.11925482749938965,0.0,0.11925482749938965,0.11925482749938965,2623.0,2623.0,,,solved,1,1
a10200.dat,2000,scip,0.15724396705627441,0.15724396705627441,0.0,0.15724396705627441,0.15724396705627441,2623.0,2623.0,,,solved,1,1
a10200.dat,2000,cbc,0.09839248657226562,0.09839248657226562,0.0,0.09839248657226562,0.09839248657226562,2623.0,2623.0,,,solved,1,1
b10200.dat,2000,gurobi,1.4733729362487793,1.4733729362487793,0.0,1.4733729362487793,1.4733729362487793,2827.0,2827.0,,,solved,1,1
b10200.dat,2000,cplex,2.303642511367798,2.303642511367798,0.0,2.303642511367798,2.303642511367798,2827.0,2827.0,,,solved,1,1
b10200.dat,2000,xpress,1.783419132232666,1.783419132232666,0.0,1.783419132232666,1.783419132232666,2827.0000000000045,2827.0000000000045,,,solved,1,1
b10200.dat,2000,highs,30.468810558319092,30.468810558319092,0.0,30.468810558319092,30.468810558319092,2826.999999999989,2826.999999999989,,,solved,1,1
b10200.dat,2000,scip,32.020848989486694,32.020848989486694,0.0,32.020848989486694,32.020848989486694,2827.000000000001,2827.000000000001,,,solved,1,1
b10200.dat,2000,cbc,102.03912043571472,102.03912043571472,0.0,102.03912043571472,102.03912043571472,,,,,TIMEOUT,1,1
c10200.dat,2000,gurobi,1.530134916305542,1.530134916305542,0.0,1.530134916305542,1.530134916305542,2806.0,2806.0,,,solved,1,1
c10200.dat,2000,cplex,1.855027437210083,1.855027437210083,0.0,1.855027437210083,1.855027437210083,2806.0,2806.0,,,solved,1,1
c10200.dat,2000,xpress,1.5664358139038086,1.5664358139038086,0.0,1.5664358139038086,1.5664358139038086,2806.0,2806.0,,,solved,1,1
c10200.dat,2000,highs,27.03993272781372,27.03993272781372,0.0,27.03993272781372,27.03993272781372,2806.000000000017,2806.000000000017,,,solved,1,1
c10200.dat,2000,scip,16.510295152664185,16.510295152664185,0.0,16.510295152664185,16.510295152664185,2805.9999999999986,2805.9999999999986,,,solved,1,1
c10200.dat,2000,cbc,102.12362813949585,102.12362813949585,0.0,102.12362813949585,102.12362813949585,,,,,TIMEOUT,1,1
d10200.dat,2000,gurobi,100.33498215675354,100.33498215675354,0.0,100.33498215675354,100.33498215675354,12441.0,12441.0,,,limit,1,1
d10200.dat,2000,cplex,100.31299209594727,100.31299209594727,0.0,100.31299209594727,100.31299209594727,12443.0,12443.0,,,limit,1,1
d10200.dat,2000,xpress,100.0,100.0,0.0,100.0,100.0,12440.000000000007,12440.000000000007,,,TIMEOUT,1,1
d10200.dat,2000,highs,100.10397672653198,100.10397672653198,0.0,100.10397672653198,100.10397672653198,12451.000000000002,12451.000000000002,,,limit,1,1
d10200.dat,2000,scip,100.2344102859497,100.2344102859497,0.0,100.2344102859497,100.2344102859497,12464.0,12464.0,,,limit,1,1
d10200.dat,2000,cbc,102.12214970588684,102.12214970588684,0.0,102.12214970588684,102.12214970588684,,,,,TIMEOUT,1,1
e10200.dat,2000,gurobi,8.412166118621826,8.412166118621826,0.0,8.412166118621826,8.412166118621826,23307.0,23307.0,,,solved,1,1
e10200.dat,2000,cplex,5.019205570220947,5.019205570220947,0.0,5.019205570220947,5.019205570220947,23307.0,23307.0,,,solved,1,1
e10200.dat,2000,xpress,10.913627624511719,10.913627624511719,0.0,10.913627624511719,10.913627624511719,23306.999999999993,23306.999999999993,,,solved,1,1
e10200.dat,2000,highs,57.01637625694275,57.01637625694275,0.0,57.01637625694275,57.01637625694275,23307.999999999996,23307.999999999996,,,solved,1,1
e10200.dat,2000,scip,50.188960790634155,50.188960790634155,0.0,50.188960790634155,50.188960790634155,23307.0,23307.0,,,solved,1,1
e10200.dat,2000,cbc,102.0852484703064,102.0852484703064,0.0,102.0852484703064,102.0852484703064,,,,,TIMEOUT,1,1
c10400.dat,4000,gurobi,1.4613456726074219,1.4613456726074219,0.0,1.4613456726074219,1.4613456726074219,5597.0,5597.0,,,solved,1,1
c10400.dat,4000,cplex,1.290985345840454,1.290985345840454,0.0,1.290985345840454,1.290985345840454,5597.0,5597.0,,,solved,1,1
c10400.dat,4000,xpress,2.3632099628448486,2.3632099628448486,0.0,2.3632099628448486,2.3632099628448486,5597.0,5597.0,,,solved,1,1
c10400.dat,4000,highs,17.683823585510254,17.683823585510254,0.0,17.683823585510254,17.683823585510254,5597.0,5597.0,,,solved,1,1
c10400.dat,4000,scip,9.443546533584595,9.443546533584595,0.0,9.443546533584595,9.443546533584595,5597.0,5597.0,,,solved,1,1
