instance,instance_size,solver,time_mean,time_median,time_std,time_min,time_max,cost_best,cost_mean,cost_std,status_last,successful_runs,total_runs
hk48.tsp,48,concorde,0.041575113932291664,0.04101872444152832,0.0014774392401462658,0.04010915756225586,0.04359745979309082,11461.0,11461.0,0.0,solved,3,3
hk48.tsp,48,LKH,0.016431649525960285,0.016435861587524414,0.00012180122587536043,0.016280412673950195,0.01657867431640625,11461.0,11461.0,0.0,solved,3,3
eil51.tsp,51,concorde,0.06970540682474773,0.07015466690063477,0.002276046706621711,0.06672048568725586,0.07224106788635254,426.0,426.0,0.0,solved,3,3
eil51.tsp,51,LKH,0.027102947235107422,0.024747133255004883,0.003907898272679929,0.023951292037963867,0.032610416412353516,426.0,426.0,0.0,solved,3,3
berlin52.tsp,52,concorde,0.07167712847391765,0.07336139678955078,0.007668259805900778,0.06155729293823242,0.08011269569396973,7542.0,7542.0,0.0,solved,3,3
berlin52.tsp,52,LKH,0.014378706614176432,0.014579296112060547,0.0028993519804632268,0.010731697082519531,0.01782512664794922,7542.0,7542.0,0.0,solved,3,3
eil76.tsp,76,concorde,0.07415556907653809,0.07254242897033691,0.005208440362782788,0.06873798370361328,0.08118629455566406,538.0,538.0,0.0,solved,3,3
eil76.tsp,76,LKH,0.03672313690185547,0.036641597747802734,0.0008633331314018306,0.03570890426635742,0.03781890869140625,538.0,538.0,0.0,solved,3,3
rat99.tsp,99,concorde,0.14098223050435385,0.14208388328552246,0.002362987697266959,0.13769912719726562,0.14316368103027344,1211.0,1211.0,0.0,solved,3,3
rat99.tsp,99,LKH,0.05735445022583008,0.0554654598236084,0.0057918604173869985,0.05139660835266113,0.0652012825012207,1211.0,1211.0,0.0,solved,3,3
rd100.tsp,100,concorde,0.1395704746246338,0.14624929428100586,0.01232102427767151,0.12229347229003906,0.15016865730285645,7910.0,7910.0,0.0,solved,3,3
rd100.tsp,100,LKH,0.08409595489501953,0.08514904975891113,0.0076309033059321196,0.07426810264587402,0.09287071228027344,7910.0,7910.0,0.0,solved,3,3
